Country URI;Country Code;Percent
http://publications.europa.eu/ontology/euvoc#AD;AD;75%
http://publications.europa.eu/ontology/euvoc#AE;AE;100%
http://publications.europa.eu/ontology/euvoc#AF;AF;75%
http://publications.europa.eu/ontology/euvoc#AL;AL;67%
http://publications.europa.eu/ontology/euvoc#AT;AT;62%
http://publications.europa.eu/ontology/euvoc#AU;AU;89%
http://publications.europa.eu/ontology/euvoc#AX;AX;80%
http://publications.europa.eu/ontology/euvoc#AZ;AZ;100%
http://publications.europa.eu/ontology/euvoc#BA;BA;75%
http://publications.europa.eu/ontology/euvoc#BE;BE;45%
http://publications.europa.eu/ontology/euvoc#BF;BF;100%
http://publications.europa.eu/ontology/euvoc#BG;BG;86%
http://publications.europa.eu/ontology/euvoc#BI;BI;100%
http://publications.europa.eu/ontology/euvoc#BM;BM;100%
http://publications.europa.eu/ontology/euvoc#BR;BR;33%
http://publications.europa.eu/ontology/euvoc#BW;BW;100%
http://publications.europa.eu/ontology/euvoc#CA;CA;61%
http://publications.europa.eu/ontology/euvoc#CH;CH;80%
http://publications.europa.eu/ontology/euvoc#CN;CN;91%
http://publications.europa.eu/ontology/euvoc#CO;CO;100%
http://publications.europa.eu/ontology/euvoc#CY;CY;74%
http://publications.europa.eu/ontology/euvoc#CZ;CZ;70%
http://publications.europa.eu/ontology/euvoc#DE;DE;70%
http://publications.europa.eu/ontology/euvoc#DJ;DJ;50%
http://publications.europa.eu/ontology/euvoc#DK;DK;35%
http://publications.europa.eu/ontology/euvoc#EE;EE;26%
http://publications.europa.eu/ontology/euvoc#EG;EG;100%
http://publications.europa.eu/ontology/euvoc#ES;ES;84%
http://publications.europa.eu/ontology/euvoc#FI;FI;46%
http://publications.europa.eu/ontology/euvoc#FJ;FJ;100%
http://publications.europa.eu/ontology/euvoc#FK;FK;50%
http://publications.europa.eu/ontology/euvoc#FR;FR;48%
http://publications.europa.eu/ontology/euvoc#GA;GA;100%
http://publications.europa.eu/ontology/euvoc#GE;GE;100%
http://publications.europa.eu/ontology/euvoc#GH;GH;100%
http://publications.europa.eu/ontology/euvoc#GP;GP;4%
http://publications.europa.eu/ontology/euvoc#GR;GR;91%
http://publications.europa.eu/ontology/euvoc#GY;GY;100%
http://publications.europa.eu/ontology/euvoc#HK;HK;100%
http://publications.europa.eu/ontology/euvoc#HR;HR;68%
http://publications.europa.eu/ontology/euvoc#HU;HU;58%
http://publications.europa.eu/ontology/euvoc#IE;IE;36%
http://publications.europa.eu/ontology/euvoc#IL;IL;87%
http://publications.europa.eu/ontology/euvoc#IM;IM;100%
http://publications.europa.eu/ontology/euvoc#IN;IN;100%
http://publications.europa.eu/ontology/euvoc#IQ;IQ;100%
http://publications.europa.eu/ontology/euvoc#IR;IR;100%
http://publications.europa.eu/ontology/euvoc#IS;IS;67%
http://publications.europa.eu/ontology/euvoc#IT;IT;69%
http://publications.europa.eu/ontology/euvoc#JP;JP;80%
http://publications.europa.eu/ontology/euvoc#KE;KE;25%
http://publications.europa.eu/ontology/euvoc#KR;KR;100%
http://publications.europa.eu/ontology/euvoc#KW;KW;50%
http://publications.europa.eu/ontology/euvoc#LB;LB;100%
http://publications.europa.eu/ontology/euvoc#LI;LI;80%
http://publications.europa.eu/ontology/euvoc#LT;LT;96%
http://publications.europa.eu/ontology/euvoc#LU;LU;71%
http://publications.europa.eu/ontology/euvoc#LV;LV;57%
http://publications.europa.eu/ontology/euvoc#MK;MK;44%
http://publications.europa.eu/ontology/euvoc#MQ;MQ;29%
http://publications.europa.eu/ontology/euvoc#MT;MT;89%
http://publications.europa.eu/ontology/euvoc#MX;MX;100%
http://publications.europa.eu/ontology/euvoc#MY;MY;100%
http://publications.europa.eu/ontology/euvoc#NG;NG;100%
http://publications.europa.eu/ontology/euvoc#NL;NL;46%
http://publications.europa.eu/ontology/euvoc#NO;NO;46%
http://publications.europa.eu/ontology/euvoc#NZ;NZ;50%
http://publications.europa.eu/ontology/euvoc#OM;OM;100%
http://publications.europa.eu/ontology/euvoc#PF;PF;100%
http://publications.europa.eu/ontology/euvoc#PH;PH;100%
http://publications.europa.eu/ontology/euvoc#PL;PL;66%
http://publications.europa.eu/ontology/euvoc#PS;PS;100%
http://publications.europa.eu/ontology/euvoc#PT;PT;88%
http://publications.europa.eu/ontology/euvoc#RE;RE;70%
http://publications.europa.eu/ontology/euvoc#RO;RO;70%
http://publications.europa.eu/ontology/euvoc#RS;RS;58%
http://publications.europa.eu/ontology/euvoc#RU;RU;88%
http://publications.europa.eu/ontology/euvoc#SA;SA;50%
http://publications.europa.eu/ontology/euvoc#SD;SD;50%
http://publications.europa.eu/ontology/euvoc#SE;SE;92%
http://publications.europa.eu/ontology/euvoc#SG;SG;100%
http://publications.europa.eu/ontology/euvoc#SI;SI;41%
http://publications.europa.eu/ontology/euvoc#SK;SK;16%
http://publications.europa.eu/ontology/euvoc#SO;SO;50%
http://publications.europa.eu/ontology/euvoc#SR;SR;100%
http://publications.europa.eu/ontology/euvoc#SV;SV;100%
http://publications.europa.eu/ontology/euvoc#TH;TH;100%
http://publications.europa.eu/ontology/euvoc#TN;TN;33%
http://publications.europa.eu/ontology/euvoc#TR;TR;53%
http://publications.europa.eu/ontology/euvoc#TT;TT;100%
http://publications.europa.eu/ontology/euvoc#TZ;TZ;100%
http://publications.europa.eu/ontology/euvoc#UA;UA;67%
http://publications.europa.eu/ontology/euvoc#UK;UK;43%
http://publications.europa.eu/ontology/euvoc#UM;UM;75%
http://publications.europa.eu/ontology/euvoc#US;US;78%
http://publications.europa.eu/ontology/euvoc#VA;VA;100%
http://publications.europa.eu/ontology/euvoc#VE;VE;80%
http://publications.europa.eu/ontology/euvoc#VG;VG;100%
http://publications.europa.eu/ontology/euvoc#VN;VN;100%
http://publications.europa.eu/ontology/euvoc#VU;VU;83%
http://publications.europa.eu/ontology/euvoc#ZW;ZW;100%
